郵便番号,都道府県名,住所,施設名,屋内外,適用エリア,13CH,14CH,15CH,16CH,17CH,18CH,19CH,20CH,21CH,22CH,23CH,24CH,25CH,26CH,27CH,28CH,29CH,30CH,31CH,32CH,33CH,34CH,35CH,36CH,37CH,38CH,39CH,40CH,41CH,42CH,43CH,44CH,45CH,46CH,47CH,48CH,49CH,50CH,51CH,52CH,53CH
190-0014,東京都,立川市緑町3-3 グリーンスプリングスN1,TACHIKAWA STAGE GARDEN,屋内,ホール,,,,,,,○,,,,,,,,,,○,,○,,○,,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
190-0014,東京都,立川市緑町3-3 グリーンスプリングスN1,TACHIKAWA STAGE GARDEN,屋外,屋外広場,,,,,,,,,,,,,,,,,○,,○,,,,,,,○,,○,,,,,,,,,,,,,○
190-0014,東京都,立川市緑町3173,国営昭和記念公園,屋内,花みどり文化センター内 ギャラリー,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,,,,,,,,,○
190-0015,東京都,立川市泉町841-141,LIXIL ショールーム立川,屋内,ショールーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○
190-0015,東京都,立川市泉町935-27,宗教法人真如苑 (応現院),屋内,応現院,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
190-0022,東京都,立川市錦町3-3-20,立川市市民会館,屋内,大ホール,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,○,○
190-0022,東京都,立川市錦町3-3-20,立川市市民会館,屋内,小ホール,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,○,,○,○,○
190-0022,東京都,立川市錦町3-3-20,立川市市民会館,屋外,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,○,○
190-0022,東京都,立川市錦町6-3-1,多摩教育センター,屋内,ホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
190-0022,東京都,立川市錦町1-10-25,錦町YSビル,屋内,東京メトロポリタンテレビジョン多摩ニュースセンター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,○
190-0022,東京都,立川市錦町1-12-1,ホテル日航立川 東京,屋内,マグノリア,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
190-0023,東京都,立川市柴崎町1-2-13,真如苑,屋内,真如苑総本部、真澄寺,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,○,○
190-0023,東京都,立川市柴崎町1-2-13,真如苑,屋外,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,○,○
190-0023,東京都,立川市柴崎町6-15-9,立川市柴崎市民体育館,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
190-0151,東京都,あきる野市小和田石神,石神神社,屋外,駐車場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,○
190-0164,東京都,あきる野市五日市400,あきる野市立五日市中学校,屋外,グラウンド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,○
190-0100,東京都,西多摩郡日の出町大字平井字三吉野桜木237-3,イオンモール日の出,屋内,メインコート,,,,,,,,,,,,,,,,,,,○,,,○,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
190-0100,東京都,西多摩郡日の出町大字平井字三吉野桜木237-3,イオンモール日の出,屋内,イオンホール,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
190-1200,東京都,西多摩郡瑞穂町箱根ヶ崎2475,瑞穂ビューパークスカイホール,屋内,大ホール,,,,,,,,,,,,,,,,,,○,,,,○,,,,○,,,,,,,,○,,○,○,○,○,○,○
190-1200,東京都,西多摩郡瑞穂町箱根ヶ崎2475,瑞穂ビューパークスカイホール,屋外,,,,,,,,,,,,,,,,,,,○,,,,,,,,○,,,,,,,,○,,○,○,○,○,○,○
191-0016,東京都,日野市神明1-12-1,日野市民会館,屋内,大ホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
191-0016,東京都,日野市神明1-12-1,日野市民会館,屋内,小ホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
191-0042,東京都,日野市程久保7-1-1,多摩動物公園,屋外,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,○
191-0062,東京都,日野市多摩平2-4-1,イオンモール多摩平の森,屋内,イオンホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○
193-0941,東京都,八王子市狭間町1453-1,エスフォルタアリーナ八王子,屋内,2Fメインアリーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○
192-0003,東京都,八王子市丹木町1-236,(学)創価大学,屋内,池田記念講堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0003,東京都,八王子市丹木町1-236,(学)創価大学,屋内,国際会議場(本部棟),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0003,東京都,八王子市丹木町1-236,(学)創価大学,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0033,東京都,八王子市高倉町29-6,オフィス塚本,屋内,事務所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○
192-0043,東京都,八王子市暁町1-36-6,料亭　なか安,屋内,洋室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○
192-0045,東京都,八王子市大和田町6-1-6,八王子ホテルニューグランド,屋内,本館　1F、3～5Fフロア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○
192-0045,東京都,八王子市大和田町6-1-6,八王子ホテルニューグランド,屋内,別館　CHAPEL 2F披露宴会場 SUN GARDEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○
192-0045,東京都,八王子市大和田町6-1-6,八王子ホテルニューグランド,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○
192-0046,東京都,八王子市明神町3-19-2,東京たま未来メッセ（東京都立多摩産業交流センター）,屋内,展示室A-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,○,○
192-0066,東京都,八王子市本町24-1,いちょうホール 八王子市芸術文化会館,屋内,大ホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,○,,○,○,○,○,○,○
192-0066,東京都,八王子市本町24-1,いちょうホール 八王子市芸術文化会館,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0071,東京都,八王子市八日町6-7,八王子エルシィ,屋内,バンケットルーム,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
192-0081,東京都,八王子市横山町13-4,HACHIOJI CLUB ZONE,屋内,B1Fフロア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0083,東京都,八王子市旭町1,ＪＲ八王子駅,屋外,北口 西放射線通り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0083,東京都,八王子市旭町14-1,京王プラザホテル八王子,屋内,翔王の間,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○
192-0083,東京都,八王子市旭町14-1,京王プラザホテル八王子,屋外,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,○,○
192-0083,東京都,八王子市旭町9-1,八王子市学園都市センター,屋内,第１セミナー室,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○
192-0083,東京都,八王子市旭町9-1,八王子市学園都市センター,屋外,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,○,○
192-0352,東京都,八王子市大塚359,帝京大学　八王子キャンパス,屋外,特設会場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0364,東京都,八王子市南大沢2-28-1,イトーヨーカドー南大沢店,屋内,センターコート,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
192-0364,東京都,八王子市南大沢2-27,八王子市南大沢文化会館,屋内,主ホール,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,○
192-0364,東京都,八王子市南大沢2-27,八王子市南大沢文化会館,屋外,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,○,○
192-0351,東京都,八王子市東中野742-1,中央大学,屋内,９号館,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○
192-0351,東京都,八王子市東中野742-1,中央大学,屋外,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,○,○
192-0904,東京都,八王子市子安町4-7-1,J:COMホール八王子（八王子市民会館）,屋内,5Fホール,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,○
192-0904,東京都,八王子市子安町4-7-1,J:COMホール八王子（八王子市民会館）,屋外,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,○,○,○,○,○
192-0906,東京都,八王子市北野町569-9,第６田代ビル,屋内,事務所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,片柳研究所棟 地下大会議室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,講義棟Ｂ 2F 一般教室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,講義棟Ｂ 3F 一般教室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,メディアホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,本部棟 4F 大会議室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,Student Canteen 4F食堂,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,スタジオ棟 4F,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,研究棟Ａ棟 12F 大会議室,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,講義棟Ａ 2F 一般教室,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,講義棟Ａ 3F 一般教室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,図書館棟 4F 図書館,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,体育館 アリーナ,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,片柳研究所棟 コンピュータ＆テクノロジーセンター,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,片柳研究所棟 レセプションルーム,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋内,ホール棟 片柳記念ホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋外,中央広場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋外,グラウンド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
192-0914,東京都,八王子市片倉町1404-1,学校法人片柳学園 八王子キャンパス,屋外,屋外プール(屋上),,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
192-0916,東京都,八王子市みなみ野1,ＪＲ八王子みなみ野駅,屋外,駅前広場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
193-0824,東京都,八王子市長房町1369,陵南公園,屋外,広場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
193-0931,東京都,八王子市台町4-23-1,株式会社オルウェイズ,屋内,事務所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
193-0941,東京都,八王子市狭間町1460,スバル総合研修センター,屋内,A棟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
193-0941,東京都,八王子市狭間町1460,スバル総合研修センター,屋内,B棟、C棟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○
193-0944,東京都,八王子市館町2193,トヨタ東京自動車大学校,屋内,体育館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○
194-0046,東京都,町田市西成瀬2-46-1,株式会社オーディオテクニカ　本社,屋内,1～4Fフロア,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
194-0013,東京都,町田市原町田4-24-29,芹ヶ谷スタジオ,屋内,メインスタジオ,,,,,,,,,,,,,,,,,,○,○,○,,,,,,○,,○,,,,,,,,,,,,,○
194-0013,東京都,町田市原町田4-24-29,芹ヶ谷スタジオ,屋外,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,○,,○,,,,,,,,,,,,,○
194-0013,東京都,町田市原町田1-3-6,早稲田塾　町田校,屋内,123教室,,,,,,,,,,,,,,,,,,,○,○,,,,,,○,,○,,,,,,,,,,,,,○
194-0021,東京都,町田市中町1-18-15,町田 ThePlay House,屋内,ライブハウス,,,,,,,,,,,,,,,,,,,○,○,,,,,,○,,○,,,,,,,,,,,,,○
194-0021,東京都,町田市中町1-20-23,町田シバヒロ,屋外,町田市本庁舎跡,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,○,,,,,,,,,,,,,○
194-0022,東京都,町田市森野2-2-36,町田市民ホール,屋内,ホール,,,,,,,,,,,,,,,,,,○,○,○,,,,,,○,,○,,,,,,,,,,,,,○
194-0022,東京都,町田市森野2-2-36,町田市民ホール,屋外,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,○,,,,,,,,,,,,,○
194-0041,東京都,町田市玉川学園2-21-9,ＯｄａｋｙｕＯＸ玉川学園店,屋外,駐車場,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
194-0041,東京都,町田市玉川学園6-1-1,玉川学園,屋内,講堂,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
194-0042,東京都,町田市東玉川学園3-3165,昭和薬科大学　体育館,屋外,特設会場,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
194-0044,東京都,町田市成瀬7-2-1,株式会社オーディオテクニカ　成瀬事業所,屋内,1～4Fフロア,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
194-0202,東京都,町田市下小山田町1668,東京国際ゴルフ倶楽部,屋外,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,○
194-0213,東京都,町田市常盤町3758,桜美林大学　町田キャンパス,屋内,体育館,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○
194-0213,東京都,町田市常盤町3758,桜美林大学　町田キャンパス,屋外,屋外ステージ,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○
195-0057,東京都,町田市真光寺1-26-39,株式会社綜合舞台,屋内,機材センター,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
195-0063,東京都,町田市野津田町2035,町田市立陸上競技場,屋外,,,,,,,,,,,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,○
196-0003,東京都,昭島市松原町3-2-12,イトーヨーカドー拝島店,屋外,屋上駐車場特設会場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,○,,○,○,○
196-0012,東京都,昭島市つつじが丘3-7-7,昭島市民会館・公民館,屋内,大ホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○
196-0012,東京都,昭島市つつじが丘3-7-7,昭島市民会館・公民館,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○
196-0014,東京都,昭島市田中町573-1-1,MOVIX 昭島,屋内,シアター2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,○
196-0014,東京都,昭島市田中町562-1,イトーヨーカドー昭島店,屋内,センターコート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,○,○,○,○
196-0000,東京都,昭島市昭和の森,フォレスト・イン昭和館,屋内,桜林,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
197-0011,東京都,福生市福生2455,福生市民会館,屋内,大ホール(もくせいホール),,,,,,,,,,,,,,,,,,,○,,,○,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
197-0011,東京都,福生市福生2455,福生市民会館,屋内,小ホール（つつじホール),,,,,,,,,,,,,,,,,,,○,,,○,,,,○,,,,,,,,,,,,,,,○
197-0804,東京都,あきる野市秋川1-16-1,秋川キララホール,屋内,ホール,,,,,,,,,,,,,,,,,,,○,,,○,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
197-0832,東京都,あきる野市上代継600,東京サマーランド,屋内,ファンタジーホール,,,,,,,,,,,,,,,,,,,○,,,○,,,,○,,,,,,,,○,,○,○,○,○,○,○
197-0832,東京都,あきる野市上代継600,東京サマーランド,屋外,,,,,,,,,,,,,,,,,,,,○,,,○,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
198-0032,東京都,青梅市野上町2-21-5,霞共益会館,屋内,3F ホール,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,○
198-0081,東京都,青梅市上町374,青梅市民会館,屋内,ホール,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
201-0013,東京都,狛江市元和泉1-2-1,狛江エコルマホール,屋内,ホール,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,○,,,,,,,,,,,,,○
201-0013,東京都,狛江市元和泉1-2-1,狛江エコルマホール,屋外,,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,○,,,,,,,,,,,,,○
202-0013,東京都,西東京市中町1-5-1,保谷こもれびホール,屋内,メインホール,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
203-0023,東京都,東久留米市南沢5-17-62,イオンモール東久留米,屋内,1Fフロア,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,○,○,,○,,○,○,○,○
203-0033,東京都,東久留米市滝山4-1-10,東久留米市立西部地域センター,屋内,多目的ホール,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○
203-0033,東京都,東久留米市滝山4-1-10,東久留米市立西部地域センター,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,○
203-0053,東京都,東久留米市本町3-8-1,イトーヨーカドー東久留米店,屋内,センターコート,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,○,○,,○,,○,○,○,○
203-0054,東京都,東久留米市中央町2-6-23,東久留米市立生涯学習センター,屋内,ホール,,,,,,,,,,,,,,,,,,,,,,,○,,,○,,,,,,,,,○,○,○,○,○,○,○
203-0054,東京都,東久留米市中央町2-6-23,東久留米市立生涯学習センター,屋外,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,○,○,○,○,○,○
204-0021,東京都,清瀬市元町1-6-6,清瀬けやきホール,屋内,ホール,,,,,,,,,,,,,,,,,,,,,,,○,,○,○,,○,,○,,,○,○,○,○,○,○,○,○,○
205-0000,東京都,羽村市緑ヶ丘1-11-5,羽村市生涯学習センター,屋内,大ホール,,,,,,,,,,,,,,,,,,,○,,,○,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
205-0000,東京都,羽村市緑ヶ丘1-11-5,羽村市生涯学習センター,屋外,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,,,,,,,○,,○,○,○,○,○,○
206-0011,東京都,多摩市関戸1-10-1,京王聖蹟桜ヶ丘ショッピングセンター,屋内,アウラホール,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
206-0022,東京都,多摩市聖ヶ丘4-1-1,多摩大学,屋内,体育館,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
206-0024,東京都,多摩市諏訪2-5-1,多摩永山情報教育センター,屋内,多目的ホール,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
206-0024,東京都,多摩市諏訪2-5-1,多摩永山情報教育センター,屋外,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
206-0024,東京都,多摩市諏訪2,多摩ニュータウン,屋外,諏訪第２公園,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
206-0025,東京都,多摩市永山6-22-6,株式会社 エス・シー・アライアンス 永山オフィス,屋内,1～3Fフロア,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,○
206-0033,東京都,多摩市落合1-43,京王プラザホテル多摩,屋内,白鳳,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,○
206-0033,東京都,多摩市落合1-31,サンリオピューロランド,屋内,メルヘンシアター,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,,,,,○
206-0033,東京都,多摩市落合1-31,サンリオピューロランド,屋内,エンターテイメントホール,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,,,,,○
206-0033,東京都,多摩市落合1-31,サンリオピューロランド,屋内,フェアリーランドシアター,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,,,,,○
206-0033,東京都,多摩市落合1-31,サンリオピューロランド,屋内,ピューロビレッジ,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,○,,○,○,○
206-0033,東京都,多摩市落合1-31,サンリオピューロランド,屋内,ディスカバリーシアター,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,,,,,○
206-0033,東京都,多摩市落合1-31,サンリオピューロランド,屋内,サンリオタウン,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,○,,○,○,○
206-0033,東京都,多摩市落合1-31,サンリオピューロランド,屋内,ストロベリーホール,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,,,,,○
206-0033,東京都,多摩市落合1-31,サンリオピューロランド,屋内,館のレストラン,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,○
206-0033,東京都,多摩市落合1-31,サンリオピューロランド,屋内,知恵の木ステージ,,,,,,,,,,,,,,,,,,○,○,,,,,,,○,,,,,,,,,,,○,,○,○,○
206-0033,東京都,多摩市落合1-31,サンリオピューロランド,屋内,B2F駐車場,,,,,,,○,,,,,,,,,,,○,○,,,,,,,○,,,,,,,,○,,○,○,○,○,○,○
206-0033,東京都,多摩市落合1-31,サンリオピューロランド,屋外,,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,,,,,○
206-0033,東京都,多摩市落合2-35,パルテノン多摩,屋内,大ホール,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,○,○,○,○,○,○
206-0033,東京都,多摩市落合2-35,パルテノン多摩,屋内,小ホール・オープンスタジオ,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,○,○,○,○,○,○
206-0033,東京都,多摩市落合2-35,パルテノン多摩,屋外,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,○
206-0812,東京都,稲城市矢野口4015-1,日テレらんらんホール,屋内,日テレらんらんホール,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
206-0812,東京都,稲城市矢野口4015-1,よみうりランド,屋外,,,○,,,,,,,,,,,,,,,,,○,,○,,,,○,○,,○,,○,,,,,,,,,,,○
206-0822,東京都,稲城市坂浜685,よみうりカントリークラブ,屋外,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○
206-0824,東京都,稲城市若葉台2-5-2,稲城市立ｉプラザ,屋内,ホール,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○
206-0822,東京都,稲城市坂浜238,学校法人駒澤学園,屋内,記念講堂,,,,,,,,,,,,,,,,,○,,○,,,,,,,,,,,,,,,,,○,○,○,○,○,○
207-0013,東京都,東大和市向原6-1,東大和市民会館,屋内,大ホール,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,○,,○,○,○,○,○,○
207-0013,東京都,東大和市向原6-1,東大和市民会館,屋外,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,○,,○,○,○,○,○,○
207-0022,東京都,東大和市桜が丘2-142-1,イトーヨーカドー東大和店,屋外,屋上,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,○
208-0004,東京都,武蔵村山市本町1-17-1,武蔵村山市民会館（さくらホール）,屋内,大ホール、小ホール,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,○,○,,○,○,○,○,○,○
208-0022,東京都,武蔵村山市榎1-1-3,イオンモールむさし村山,屋内,HMVイオンモールむさし村山,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,○,,○,○,○,○,○,○
208-0022,東京都,武蔵村山市榎1-1-3,イオンモールむさし村山,屋内,1Fフロア,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,○,,○,○,○,○,○,○
210-0006,神奈川県,川崎市川崎区砂子1-4-3,宗三寺,屋外,,,○,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,○,,,,,,,,,,,○
